ProductionVolume,ProductionCost,SupplierQuality,DeliveryDelay,QualityScore,MaintenanceHours,DowntimePercentage,InventoryTurnover,StockoutRate,WorkerProductivity,SafetyIncidents,EnergyConsumption,EnergyEfficiency,AdditiveProcessTime,AdditiveMaterialCost,DefectStatus,Date
193.9109564923126,13175.403783454076,86.6485338434873,1,62.39380778923792,9,0.0523428665825131,8.630515349694399,0.081321680689565,84.24452324358163,0,2419.6167853897314,0.4689466237325203,5.551638989779324,236.4393009685121,0,2008-01-01
504.98485054327057,19770.046092867626,86.3106636132627,4,82.11394924889082,20,4.908328249649529,9.296598088201092,0.0384864696462169,97.69346425561854,7,3915.566712518908,0.1194845582710166,9.080753556517903,353.95763117070123,1,2008-01-02
930.149662478295,19060.820997456784,82.13247237873196,0,90.34609451760588,1,2.464922789091977,5.097485700889168,0.002887365066928,91.40043272822098,2,3392.385361907013,0.4963915263771467,6.562827271335978,396.1894020789741,0,2008-01-03
352.83111907844403,5647.606036955175,87.33596641292537,5,68.34740489764846,8,4.692475791653855,3.5776159908082663,0.0553309712298263,95.68034847505183,8,4652.400275208078,0.1831250880808031,8.097495649797912,164.13586993599623,1,2008-01-04
179.08474382698958,7472.222235941557,81.9898933774593,3,82.04435470867952,9,2.746726169175264,6.851709481404519,0.0680471388923527,86.88109270295585,7,1581.6303322233557,0.2635069441596037,6.406154013365929,365.7089635552469,0,2008-01-05
139.39438287985794,6975.931601818429,95.33191889424104,1,94.13260642910839,19,3.0273243011114435,7.930009365731895,0.0740694945336006,88.17044260468721,7,1238.994421294104,0.118020523266287,7.279442018854667,171.7118038606049,0,2008-01-06
770.6011013857152,15889.698649779431,99.32548595496372,3,90.76281173915878,10,3.559561279519861,3.0468885305972844,0.0401924954309284,91.45444598886017,8,3138.4311499645146,0.3339128812432125,4.89166883913966,188.72773739599336,0,2008-01-07
115.15016874216789,17266.77994785418,99.40148913333414,4,92.8272778221443,13,1.6048786683220275,8.380972117476272,0.00970196314924,89.80879071232022,3,1004.1085544431404,0.2934221061603966,9.333834716873657,312.526896112006,0,2008-01-08
669.4847715535785,8202.670494660078,97.30142198750788,5,95.60249566890484,2,3.494919803375173,3.668746560100464,0.0584326434463386,95.40247206486536,4,4150.875772539863,0.366682813893912,5.517451183952448,215.68092079042992,0,2008-01-09
215.8998647739709,12587.790394277436,92.01584298679238,2,96.69121952716588,0,2.6339595492569186,5.93341834326768,0.0329547885238181,86.91104182524876,6,3023.891554740037,0.317071250916589,5.965972023040868,364.6381764945946,1,2008-01-10
